row_id,A_source,B_source,direct_answer,swapped_answer,order_influenced_decision,topic,N2_raw,S2_raw,N3_raw,chosen_N1,chosen_S1,chosen_N2,chosen_S2,chosen_N3,majority_source,majority_count_of_5,normal_consistent
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_mistral,2,1,No,askacademia_train,2,1,2,losing_generate_mistral,losing_generate_mistral,losing_generate_mistral,losing_generate_mistral,losing_generate_mistral,losing_generate_mistral,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_llama,2,1,No,askacademia_train,2,1,2,losing_generate_llama,losing_generate_llama,losing_generate_llama,losing_generate_llama,losing_generate_llama,losing_generate_llama,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_claude,2,1,No,askacademia_train,2,1,2,losing_generate_claude,losing_generate_claude,losing_generate_claude,losing_generate_claude,losing_generate_claude,losing_generate_claude,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_text,1,2,No,askacademia_train,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_gpt4omini,2,1,No,askacademia_train,2,1,2,losing_generate_gpt4omini,losing_generate_gpt4omini,losing_generate_gpt4omini,losing_generate_gpt4omini,losing_generate_gpt4omini,losing_generate_gpt4omini,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_gpt5nano,2,1,No,askacademia_train,2,1,2,losing_generate_gpt5nano,losing_generate_gpt5nano,losing_generate_gpt5nano,losing_generate_gpt5nano,losing_generate_gpt5nano,losing_generate_gpt5nano,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_gemini,2,1,No,askacademia_train,2,1,2,losing_generate_gemini,losing_generate_gemini,losing_generate_gemini,losing_generate_gemini,losing_generate_gemini,losing_generate_gemini,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_qwen,"2

Comment 1 does",2,Yes,askacademia_train,"2

Comment 1 does",2,"2

Comment 1 does",Ambig,winning_text,Ambig,winning_text,Ambig,winning_text,2,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_improve_claude,2,1,No,askacademia_train,2,1,2,losing_improve_claude,losing_improve_claude,losing_improve_claude,losing_improve_claude,losing_improve_claude,losing_improve_claude,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_improve_qwen,1,2,No,askacademia_train,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_improve_gpt4omini,2,1,No,askacademia_train,2,1,2,losing_improve_gpt4omini,losing_improve_gpt4omini,losing_improve_gpt4omini,losing_improve_gpt4omini,losing_improve_gpt4omini,losing_improve_gpt4omini,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_improve_gpt5nano,2,1,No,askacademia_train,2,1,2,losing_improve_gpt5nano,losing_improve_gpt5nano,losing_improve_gpt5nano,losing_improve_gpt5nano,losing_improve_gpt5nano,losing_improve_gpt5nano,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_improve_gemini,2,1,No,askacademia_train,2,1,2,losing_improve_gemini,losing_improve_gemini,losing_improve_gemini,losing_improve_gemini,losing_improve_gemini,losing_improve_gemini,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_improve_mistral,2,1,No,askacademia_train,2,1,2,losing_improve_mistral,losing_improve_mistral,losing_improve_mistral,losing_improve_mistral,losing_improve_mistral,losing_improve_mistral,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_improve_llama,1,1,Yes,askacademia_train,1,1,1,winning_text,losing_improve_llama,winning_text,losing_improve_llama,winning_text,winning_text,3,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_paraphrase_claude,"2

Confidence:",2,Yes,askacademia_train,"2

Confidence:",2,"2

Confidence:",losing_paraphrase_claude,winning_text,losing_paraphrase_claude,winning_text,losing_paraphrase_claude,losing_paraphrase_claude,3,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_paraphrase_gemini,1,2,No,askacademia_train,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_paraphrase_gpt5nano,1,2,No,askacademia_train,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_paraphrase_llama,1,2,No,askacademia_train,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_paraphrase_qwen,1,2,No,askacademia_train,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_paraphrase_gpt4omini,1,2,No,askacademia_train,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_paraphrase_mistral,1,2,No,askacademia_train,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_generate_gemini,2,1,No,askacademia_train,2,1,2,losing_generate_gemini,losing_generate_gemini,losing_generate_gemini,losing_generate_gemini,losing_generate_gemini,losing_generate_gemini,5,Yes
